prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
193ac;d023a;přestup z EP;;;;25;62,5%;;
6b942;30fd1;SŠChomutov;;;;21;52,5%;;0,0%
cfcb6;1efec;ZŠGorké;3;3;3;12;30,0%;15;30,0%
8ebe4;c5642;ZŠDomky;3;4;4;27;67,5%;24;48,0%
47cc5;75630;ZŠKomenTrut;2;3;3;17;42,5%;14;28,0%
d69d1;063ee;ZŠSchuz;2;2;1;34;85,0%;38;76,0%
fbdb4;a7be4;ZŠHosti;3;3;3;10;25,0%;9;18,0%
b01c9;0fae5;ZŠJilemKom;3;3;3;20;50,0%;26;52,0%
f4ab0;ac493;ZŠBří.Ú;3;3;3;13;32,5%;11;22,0%
42a2f;213ac;ZŠSvobo;2;3;2;27;67,5%;19;38,0%
a4d52;809ec;ZŠHosti;2;2;2;30;75,0%;28;56,0%
5a26e;e14e6;ZŠMlád;1;1;1;24;60,0%;30;60,0%
a4589;124dd;ZŠBuky;2;2;2;28;70,0%;33;66,0%
c6d04;fe0be;ZŠKomenTrut;2;3;3;20;50,0%;23;46,0%
a5811;3fb0c;ZŠBíl.T;2;2;2;27;67,5%;26;52,0%
1a907;2dbbf;ZŠMlád;2;2;3;17;42,5%;16;32,0%
d14d4;83a8f;ZŠŠk.Vr 1336;4;3;3;19;47,5%;19;38,0%
d3024;ca5f8;ZŠGorké;2;2;1;23;57,5%;29;58,0%
607a7;15bf7;ZŠGorké;4;3;3;12;30,0%;16;32,0%
09c50;0c08b;ZŠNáchKom;3;3;3;20;50,0%;28;56,0%
7733a;2c3e7;ZŠRadvanice;4;4;3;18;45,0%;33;66,0%
7fb21;bce10;ZŠDomky;3;2;2;18;45,0%;27;54,0%
9890e;2709f;ZŠDomky;4;3;3;18;45,0%;13;26,0%
f7eb8;a029a;ZŠSchuz;3;2;3;29;72,5%;33;66,0%
57666;abad8;ZŠFriml;2;2;2;28;70,0%;34;68,0%
74caf;c0b5e;ZŠGorké;4;3;3;14;35,0%;9;18,0%
a43bc;f497c;ZŠ5.května;3;3;3;12;30,0%;13;26,0%
c4dc7;d3a16;ZŠKomenTrut;2;3;2;24;60,0%;40;80,0%
febda;81382;ZŠDomky;2;3;3;14;35,0%;10;20,0%
cd4af;832e4;ZŠGorké;3;3;3;14;35,0%;6;12,0%
dfe58;adffc;gymn.Pardubice;2;2;2;nepsal;;;
