prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
e0e3b;f2709;ZŠLánov;2;2;2;20;50,0%;21;42,0%
90128;bf2d9;ZŠaZUŠRtyněvPod.;2;2;3;19;47,5%;34;68,0%
294e2;2ba5f;ZŠMlád;2;2;2;18;45,0%;19;38,0%
3a881;8e180;ZŠPoříč;2;2;2;27;67,5%;33;66,0%
92509;4b547;ZŠLánov;3;3;2;33;82,5%;36;72,0%
f4ab0;ac493;ZŠPoříč;1;2;1;25;62,5%;26;52,0%
6d74b;df8ac;ZŠŠ.Mlý;3;3;2;24;60,0%;13;26,0%
8e84d;c96b6;ZŠMír.V;2;1;2;31;77,5%;28;56,0%
547a8;9cbeb;ZŠŽacléř;1;2;2;34;85,0%;42;84,0%
f39df;c11e2;ZŠPodharťDv.Kr.;2;1;2;27;67,5%;35;70,0%
366cc;5a64a;ZŠBří.Ú;1;1;2;35;87,5%;31;62,0%
6b40c;65de6;ZŠČerv.Kost.;1;1;1;29;72,5%;39;78,0%
46a1b;55425;ZŠFriml;1;1;1;29;72,5%;27;54,0%
3de28;9b201;ZŠMlád;2;1;2;20;50,0%;21;42,0%
76b30;467b8;ZŠKomenTrut;2;2;2;28;70,0%;38;76,0%
25426;ee044;ZŠPolice;3;2;2;31;77,5%;27;54,0%
06631;97d0a;ZŠKomenTrut;1;1;1;39;97,5%;43;86,0%
23b85;2e987;ZŠMlád;2;2;2;34;85,0%;28;56,0%
800b9;52eda;ZŠRudník;3;3;3;17;42,5%;15;30,0%
b713e;b9620;ZŠFriml;1;2;1;26;65,0%;29;58,0%
c6d0c;21783;ZŠKomenTrut;2;2;2;18;45,0%;36;72,0%
f5e97;9c9a5;ZŠTepl.n.Met.;3;3;2;32;80,0%;26;52,0%
6ef15;b5f45;ZŠMlád;2;1;2;28;70,0%;33;66,0%
bcc01;0f769;ZŠKomenTrut;3;2;2;24;60,0%;16;32,0%
1673d;0a03f;ZŠNáchKom;2;2;3;24;60,0%;33;66,0%
31fa6;61b0b;ZŠMlád;3;3;3;14;35,0%;12;24,0%
ff8f9;9247b;ZŠFriml;2;2;2;26;65,0%;33;66,0%
dd84c;f3cb2;ZŠMlád;2;2;2;23;57,5%;19;38,0%
33c14;ef4f6;ZŠSvobo;2;2;2;21;52,5%;30;60,0%
aef4c;a7a96;ZŠPoříč;2;2;2;28;70,0%;35;70,0%
