prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
b8d66;10c06;ZŠSvobo;2;2;1;22;55,0%;32;64,0%
f818c;b083d;ZŠČerv.Kost.;1;1;1;31;77,5%;44;88,0%
b3efa;14a25;ZŠGorké;1;1;1;27;67,5%;40;80,0%
4d793;8d1f8;ZŠŠk.Vr 1336;1;1;2;;;35;70,0%
3350c;e107a;ZŠMlád;1;1;1;33;82,5%;42;84,0%
90963;c07f8;ZŠGorké;2;3;2;20;50,0%;27;54,0%
19dd3;14d0a;ZŠJaroměřNaOstr;2;2;2;28;70,0%;31;62,0%
005c4;833bd;ZŠPolice;3;3;3;30;75,0%;43;86,0%
b4e4c;f1ef5;ZŠGorké;1;1;2;22;55,0%;29;58,0%
f55b6;02732;ZŠBří.Ú;1;1;1;26;65,0%;31;62,0%
ae060;63240;ZŠPoříč;2;2;2;35;87,5%;44;88,0%
feb6e;b223b;ZŠTepl.n.Met.;1;2;1;35;87,5%;31;62,0%
38aae;7c5b7;ZŠNáchKom;1;1;1;36;90,0%;46;92,0%
63de6;02474;ZŠDubenec;2;1;2;32;80,0%;34;68,0%
431c3;6532b;ZŠKomenTrut;1;1;1;39;97,5%;48;96,0%
c8021;d13f0;ZŠPecka;2;2;2;35;87,5%;38;76,0%
4144f;4a68f;ZŠDomky;2;2;2;22;55,0%;28;56,0%
ddef9;1931c;ZŠČerv.Kost.;1;1;1;26;65,0%;32;64,0%
69d65;be12a;ZŠRudník;1;1;1;30;75,0%;27;54,0%
57e87;78f33;ZŠJaroměřNaOstr;1;1;1;29;72,5%;36;72,0%
c290f;6c241;ZŠPilní;1;1;1;28;70,0%;40;80,0%
1569b;1c157;ZŠČerv.Kost.;1;1;1;28;70,0%;39;78,0%
7249f;a85e3;ZŠJaroměřNaOstr;1;1;1;30;75,0%;39;78,0%
9142a;05d64;ZŠGorké;1;1;2;17;42,5%;34;68,0%
938a7;b2520;ZŠMlád;2;2;2;22;55,0%;35;70,0%
f2d7c;1a0f5;ZŠMlád;1;2;2;21;52,5%;34;68,0%
21917;64801;ZŠStržDv.Kr.;2;2;1;33;82,5%;33;66,0%
d24b2;68bd1;ZŠMír.V;3;2;2;32;80,0%;27;54,0%
83dbf;c4315;ZŠGorké;2;2;2;25;62,5%;20;40,0%
c300e;63618;ZŠBuky;2;2;2;29;72,5%;40;80,0%
